iter	Passed	Remaining
417	1832	2551
418	1837	2547
419	1839	2540
420	1842	2533
421	1845	2527
422	1847	2520
423	1852	2516
424	1854	2509
425	1857	2502
426	1859	2495
427	1862	2488
428	1866	2484
429	1868	2477
430	1871	2470
431	1873	2463
432	1876	2457
433	1878	2450
434	1883	2445
435	1885	2438
436	1887	2431
437	1889	2424
438	1892	2418
439	1894	2411
440	1899	2407
441	1901	2400
442	1904	2394
443	1906	2387
444	1909	2381
445	1913	2376
446	1915	2370
447	1918	2363
448	1921	2357
449	1923	2350
450	1925	2344
451	1930	2340
452	1932	2334
453	1936	2328
454	1939	2322
455	1943	2317
456	1945	2311
457	1948	2305
458	1950	2299
459	1953	2293
460	1956	2287
461	1960	2282
462	1962	2276
463	1965	2270
464	1967	2263
465	1969	2257
466	1972	2251
467	1976	2247
468	1979	2240
469	1981	2234
470	1984	2228
471	1986	2222
472	1990	2218
473	1993	2212
474	1996	2206
475	1998	2200
476	2000	2193
477	2003	2187
478	2012	2188
479	2017	2185
480	2031	2191
481	2038	2191
482	2041	2185
483	2043	2178
484	2046	2172
485	2048	2166
486	2051	2160
487	2055	2156
488	2058	2150
489	2060	2144
490	2062	2138
491	2065	2132
492	2069	2128
493	2072	2122
494	2074	2116
495	2077	2110
496	2079	2104
497	2082	2099
498	2086	2095
499	2089	2089
500	2091	2083
501	2094	2077
502	2096	2071
503	2100	2067
504	2102	2061
505	2105	2055
506	2107	2049
507	2110	2044
508	2113	2038
509	2117	2034
510	2119	2028
511	2122	2023
512	2126	2018
513	2128	2012
514	2133	2009
515	2136	2003
516	2139	1998
517	2142	1993
518	2144	1987
519	2150	1984
520	2152	1979
521	2155	1973
522	2158	1968
523	2160	1962
524	2164	1958
525	2167	1953
526	2170	1947
527	2172	1941
528	2174	1936
529	2177	1930
530	2182	1927
531	2184	1921
532	2187	1916
533	2189	1910
534	2192	1905
535	2196	1901
536	2199	1896
537	2201	1890
538	2204	1885
539	2206	1879
540	2210	1875
541	2213	1870
542	2215	1864
543	2218	1859
544	2220	1854
545	2223	1848
546	2227	1845
547	2230	1839
548	2233	1834
549	2236	1829
550	2238	1824
551	2242	1820
552	2245	1814
553	2247	1809
554	2250	1804
555	2252	1799
556	2255	1793
557	2259	1789
558	2261	1784
559	2264	1778
560	2266	1773
561	2269	1768
562	2273	1764
563	2276	1759
564	2279	1754
565	2282	1749
566	2284	1744
567	2288	1740
568	2291	1735
569	2293	1730
570	2296	1725
571	2298	1719
572	2301	1714
573	2305	1710
574	2307	1705
575	2310	1700
576	2312	1695
577	2315	1690
578	2317	1685
579	2321	1681
580	2324	1676
581	2327	1671
582	2329	1666
583	2332	1661
584	2336	1657
585	2339	1652
586	2341	1647
587	2344	1642
588	2346	1637
589	2350	1633
590	2353	1628
591	2355	1623
592	2358	1618
593	2360	1613
594	2363	1608
595	2367	1605
596	2370	1600
597	2372	1595
598	2375	1590
599	2377	1585
600	2382	1581
601	2389	1579
602	2392	1574
603	2394	1569
604	2398	1566
605	2401	1561
606	2404	1556
607	2406	1551
608	2409	1546
609	2412	1542
610	2415	1537
611	2418	1533
612	2421	1528
613	2426	1525
614	2434	1524
615	2439	1520
616	2446	1518
617	2449	1514
618	2452	1509
619	2455	1504
620	2457	1499
621	2461	1496
622	2464	1491
623	2466	1486
624	2469	1481
625	2471	1476
626	2473	1471
627	2478	1467
628	2480	1463
629	2482	1458
630	2485	1453
631	2487	1448
632	2491	1444
633	2494	1439
634	2496	1435
635	2499	1430
636	2501	1425
637	2504	1420
638	2508	1417
639	2510	1412
640	2513	1407
641	2516	1403
642	2519	1398
643	2522	1394
644	2525	1390
645	2528	1385
646	2531	1381
647	2534	1376
648	2536	1371
649	2540	1367
650	2542	1363
651	2545	1358
652	2547	1353
653	2550	1349
654	2554	1345
655	2556	1340
656	2559	1336
657	2562	1331
658	2564	1327
659	2567	1322
660	2571	1318
661	2574	1314
662	2577	1310
663	2580	1305
664	2582	1301
665	2587	1297
666	2590	1293
667	2593	1288
668	2596	1284
669	2598	1279
670	2604	1277
671	2606	1272
672	2609	1267
673	2612	1263
674	2614	1258
675	2618	1255
676	2621	1250
677	2624	1246
678	2627	1242
679	2629	1237
680	2634	1233
681	2636	1229
682	2639	1224
683	2641	1220
684	2644	1215
685	2648	1212
686	2650	1207
687	2653	1203
688	2655	1198
689	2658	1194
690	2660	1189
691	2665	1186
692	2667	1181
693	2670	1177
694	2672	1172
695	2675	1168
696	2677	1164
697	2680	1159
698	2683	1155
699	2685	1150
700	2687	1146
701	2690	1142
702	2694	1138
703	2697	1134
704	2699	1129
705	2702	1125
706	2704	1120
707	2707	1116
708	2711	1112
709	2714	1108
710	2716	1104
711	2719	1100
712	2721	1095
713	2726	1092
714	2728	1087
715	2731	1083
716	2733	1079
717	2736	1074
718	2738	1070
719	2742	1066
720	2745	1062
721	2747	1057
722	2750	1053
723	2752	1049
724	2756	1045
725	2758	1041
726	2763	1037
727	2779	1038
728	2784	1035
729	2792	1032
730	2798	1029
731	2807	1027
732	2811	1023
733	2814	1019
734	2816	1015
735	2820	1011
736	2823	1007
737	2825	1003
738	2828	998
739	2830	994
740	2833	990
741	2837	986
742	2840	982
743	2842	978
744	2845	973
745	2847	969
746	2850	965
747	2853	961
748	2855	957
749	2858	952
750	2860	948
751	2863	944
752	2867	940
753	2870	936
754	2872	932
755	2875	927
756	2877	923
757	2879	919
758	2884	915
759	2886	911
760	2889	907
761	2892	903
762	2894	899
763	2899	895
764	2902	891
765	2904	887
766	2908	883
767	2911	879
768	2914	875
769	2917	871
770	2920	867
771	2923	863
772	2928	860
773	2931	855
774	2934	852
775	2937	848
776	2940	843
777	2944	840
778	2946	836
779	2949	831
780	2952	827
781	2954	823
782	2957	819
783	2960	815
784	2963	811
785	2966	807
786	2968	803
787	2970	799
788	2975	795
789	2977	791
790	2980	787
791	2982	783
792	2985	779
793	2987	775
794	2992	771
795	2994	767
796	2996	763
797	2999	759
798	3001	755
799	3004	751
800	3008	747
801	3010	743
802	3013	739
803	3016	735
804	3019	731
805	3024	727
806	3026	723
807	3029	719
808	3032	715
809	3034	711
810	3038	708
811	3041	704
812	3044	700
813	3047	696
814	3049	692
815	3054	688
816	3057	684
817	3059	680
818	3062	676
819	3065	672
820	3071	669
821	3075	665
822	3078	661
823	3080	657
824	3085	654
825	3087	650
826	3089	646
827	3092	642
828	3095	638
829	3098	634
830	3101	630
831	3104	626
832	3107	622
833	3110	619
834	3112	615
835	3116	611
836	3119	607
837	3121	603
838	3124	599
839	3126	595
840	3131	591
841	3133	587
842	3135	584
843	3138	580
844	3140	576
845	3143	572
846	3147	568
847	3149	564
848	3153	560
849	3167	558
850	3173	555
851	3179	552
852	3191	549
853	3195	546
854	3198	542
855	3202	538
856	3204	534
857	3208	531
858	3211	527
859	3214	523
860	3217	519
861	3220	515
862	3224	511
863	3227	508
864	3230	504
865	3233	500
866	3236	496
867	3241	492
868	3244	489
869	3247	485
870	3249	481
871	3252	477
872	3257	473
873	3268	471
874	3276	468
875	3280	464
876	3290	461
877	3293	457
878	3297	453
879	3301	450
880	3308	446
881	3313	443
882	3317	439
883	3323	436
884	3327	432
885	3330	428
886	3339	425
887	3347	422
888	3350	418
889	3357	414
890	3360	411
891	3365	407
892	3375	404
893	3379	400
894	3387	397
895	3390	393
896	3393	389
897	3399	386
898	3403	382
899	3407	378
900	3409	374
901	3415	371
902	3419	367
903	3425	363
904	3435	360
905	3446	357
906	3453	354
907	3464	350
908	3470	347
909	3477	343
910	3490	340
911	3498	337
912	3511	334
913	3518	331
914	3526	327
915	3533	323
916	3539	320
917	3553	317
918	3558	313
919	3568	310
920	3596	308
921	3617	306
922	3620	302
923	3624	298
924	3627	294
925	3629	290
926	3632	286
927	3634	282
928	3637	278
929	3641	274
930	3643	270
931	3646	266
932	3648	262
933	3651	258
934	3655	254
935	3657	250
936	3660	246
937	3662	242
938	3665	238
939	3667	234
940	3671	230
941	3674	226
942	3676	222
943	3679	218
944	3681	214
945	3684	210
946	3687	206
947	3690	202
948	3693	198
949	3696	194
950	3698	190
951	3702	186
952	3705	182
953	3707	178
954	3710	174
955	3712	170
956	3715	166
957	3719	163
958	3721	159
959	3724	155
960	3726	151
961	3729	147
962	3733	143
963	3736	139
964	3738	135
965	3740	131
966	3743	127
967	3745	123
968	3750	119
969	3752	116
970	3755	112
971	3757	108
972	3759	104
973	3764	100
974	3767	96
975	3769	92
976	3771	88
977	3774	84
978	3776	81
979	3782	77
980	3785	73
981	3788	69
982	3791	65
983	3799	61
984	3801	57
985	3805	54
986	3808	50
987	3818	46
988	3822	42
989	3824	38
990	3833	34
991	3837	30
992	3840	27
993	3848	23
994	3851	19
995	3854	15
996	3856	11
997	3865	7
998	3868	3
999	3871	0
